d1,r,d2
DB00374,0,DB08903
DB01036,0,DB00889
DB00218,0,DB00556
DB00346,0,DB06708
DB00916,0,DB00246
DB01242,0,DB08865
DB00220,0,DB01155
DB00753,0,DB08865
DB02546,0,DB09063
DB01151,0,DB01211
DB01623,0,DB06708
DB00537,0,DB00908
DB00540,0,DB00363
DB00199,0,DB06402
DB00199,0,DB00608
DB00938,0,DB06708
DB00734,0,DB06589
DB01236,0,DB00468
DB06788,0,DB00468
DB01001,0,DB01137
DB08912,0,DB00218
DB00218,0,DB08903
DB01263,0,DB01165
DB00656,0,DB01182
DB00674,0,DB06697
DB00871,0,DB00472
DB00915,0,DB01169
DB06708,0,DB09083
DB01233,0,DB00539
DB00691,0,DB00363
DB00808,0,DB06216
DB00321,0,DB05294
DB01165,0,DB01211
DB06663,0,DB00280
DB00743,0,DB01601
DB00710,0,DB00757
DB06699,0,DB00604
DB00477,0,DB00889
DB01233,0,DB01118
DB00477,0,DB00738
DB01274,0,DB00280
DB00916,0,DB09039
DB01268,0,DB01175
DB00458,0,DB00604
DB00927,0,DB00204
DB01069,0,DB01182
DB00014,0,DB06708
DB01155,0,DB00875
DB00753,0,DB04855
DB06699,0,DB00420
DB01069,0,DB06708
DB00334,0,DB01035
DB01403,0,DB06697
DB08868,0,DB00604
DB00714,0,DB04855
DB00808,0,DB06697
DB00743,0,DB00757
DB01274,0,DB00537
DB01151,0,DB01169
DB00710,0,DB01224
DB06663,0,DB00679
DB01182,0,DB00539
DB01195,0,DB00204
DB01137,0,DB04946
DB00243,0,DB00904
DB01182,0,DB08903
DB00529,0,DB06589
DB00346,0,DB01155
DB00321,0,DB01169
DB01623,0,DB00207
DB00904,0,DB05294
DB01236,0,DB01184
DB01059,0,DB04844
DB00697,0,DB00246
DB01087,0,DB01182
DB00270,0,DB01195
DB09080,0,DB00679
DB01195,0,DB05294
DB01026,0,DB00218
DB00398,0,DB00199
DB00679,0,DB09083
DB01623,0,DB00363
DB01623,0,DB00537
DB00889,0,DB01100
DB01075,0,DB09078
DB00889,0,DB06402
DB00656,0,DB00679
DB09078,0,DB09039
DB00674,0,DB06216
DB01233,0,DB00014
DB01015,0,DB01267
DB01591,0,DB01624
DB00916,0,DB04868
DB00346,0,DB00218
DB09083,0,DB06603
DB01403,0,DB06708
DB00420,0,DB00537
DB08903,0,DB06708
DB01623,0,DB00556
DB01001,0,DB01155
DB02546,0,DB04946
DB00738,0,DB01184
DB06699,0,DB01211
DB09080,0,DB00308
DB06663,0,DB00743
DB06402,0,DB00308
DB00104,0,DB00537
DB00871,0,DB01087
DB00927,0,DB00889
DB00502,0,DB01232
DB00738,0,DB06402
DB01356,0,DB00539
DB00289,0,DB06697
DB08871,0,DB00261
DB00862,0,DB00556
DB01001,0,DB00472
DB00420,0,DB06589
DB06603,0,DB00261
DB06589,0,DB00261
DB00263,0,DB06603
DB00983,0,DB01224
DB00333,0,DB08865
DB00529,0,DB00261
DB00363,0,DB00889
DB00691,0,DB00889
DB01155,0,DB04855
DB00543,0,DB01224
DB09083,0,DB09063
DB00374,0,DB01137
DB08871,0,DB01087
DB01623,0,DB00261
DB01059,0,DB00477
DB00674,0,DB01100
DB00834,0,DB01087
DB00608,0,DB00738
DB00714,0,DB00215
DB01242,0,DB01169
DB00370,0,DB04855
DB00834,0,DB00199
DB00949,0,DB00280
DB08871,0,DB01232
DB00334,0,DB01155
DB00543,0,DB00014
DB00915,0,DB00215
DB00916,0,DB04946
DB00734,0,DB00889
DB00556,0,DB01175
DB00398,0,DB00738
DB01075,0,DB01184
DB00370,0,DB01137
DB00757,0,DB00889
DB00285,0,DB00875
DB00582,0,DB00489
DB00557,0,DB00261
DB00188,0,DB00477
DB06825,0,DB01232
DB00358,0,DB00875
DB00753,0,DB01169
DB00915,0,DB00757
DB00834,0,DB01591
DB01069,0,DB06697
DB00363,0,DB00743
DB01036,0,DB08903
DB00503,0,DB01087
DB01591,0,DB00489
DB00458,0,DB06216
DB09083,0,DB00976
DB00916,0,DB08865
DB00502,0,DB05294
DB08912,0,DB00489
DB00834,0,DB01254
DB00691,0,DB01267
DB00289,0,DB00502
DB01274,0,DB08903
DB00543,0,DB04868
DB00537,0,DB00904
DB00934,0,DB00308
DB00949,0,DB01175
DB06402,0,DB01601
DB02546,0,DB00450
DB01142,0,DB00604
DB00834,0,DB00543
DB00014,0,DB00477
DB09080,0,DB00757
DB00556,0,DB00679
DB00529,0,DB01087
DB00450,0,DB00261
DB01182,0,DB01195
DB00674,0,DB01267
DB01259,0,DB00420
DB06699,0,DB04855
DB00726,0,DB01169
DB00321,0,DB01184
DB00270,0,DB00539
DB00949,0,DB00537
DB01072,0,DB00679
DB00344,0,DB00308
DB00557,0,DB01087
DB01274,0,DB01601
DB00346,0,DB01182
DB00656,0,DB01155
DB01254,0,DB00308
DB00916,0,DB00308
DB01236,0,DB00280
DB00675,0,DB06402
DB00289,0,DB00468
DB00743,0,DB00246
DB00889,0,DB00604
DB00871,0,DB06216
DB00726,0,DB01182
DB01233,0,DB00537
DB00862,0,DB04844
DB00344,0,DB06216
DB00285,0,DB00489
DB01259,0,DB01137
DB01591,0,DB00263
DB00344,0,DB00875
DB01142,0,DB08865
DB00608,0,DB08865
DB00363,0,DB00204
DB01356,0,DB08903
DB00934,0,DB00743
DB01015,0,DB00420
DB00537,0,DB00308
DB01001,0,DB00263
DB00734,0,DB01182
DB01403,0,DB06402
DB01075,0,DB01232
DB00014,0,DB00218
DB00697,0,DB01137
DB01165,0,DB05294
DB00889,0,DB00904
DB00715,0,DB01137
DB05039,0,DB01035
DB02546,0,DB09078
DB00370,0,DB01169
DB01165,0,DB01182
DB00916,0,DB01165
DB01259,0,DB01267
DB00934,0,DB06402
DB08871,0,DB06603
DB08893,0,DB06697
DB01015,0,DB01087
DB00818,0,DB01224
DB00358,0,DB00757
DB00450,0,DB08903
DB00014,0,DB00363
DB08868,0,DB00539
DB05039,0,DB01087
DB01259,0,DB00502
DB01072,0,DB00489
DB00697,0,DB08903
DB01015,0,DB09039
DB00207,0,DB08903
DB00808,0,DB01195
DB00949,0,DB04855
DB01268,0,DB00539
DB06697,0,DB09083
DB00374,0,DB01087
DB00540,0,DB00207
DB09080,0,DB01182
DB00440,0,DB00502
DB01015,0,DB04946
DB00818,0,DB00420
DB00714,0,DB00537
DB00477,0,DB00604
DB08871,0,DB01035
DB01242,0,DB00904
DB00691,0,DB08865
DB00674,0,DB01182
DB00726,0,DB00280
DB01591,0,DB00502
DB00904,0,DB01035
DB00714,0,DB01211
DB00218,0,DB01165
DB00753,0,DB00537
DB00695,0,DB00204
DB00285,0,DB00308
DB00334,0,DB04946
DB01259,0,DB01182
DB00537,0,DB00757
DB06663,0,DB01087
DB00537,0,DB00204
DB00440,0,DB00280
DB06788,0,DB01601
DB00889,0,DB00308
DB00188,0,DB04844
DB01236,0,DB04946
DB01623,0,DB01224
DB01189,0,DB01232
DB00675,0,DB01169
DB00289,0,DB00218
DB00916,0,DB00608
DB01236,0,DB00263
DB00188,0,DB00468
DB01142,0,DB01624
DB00270,0,DB01087
DB01059,0,DB00976
DB00934,0,DB00472
DB01104,0,DB09078
DB00458,0,DB00502
DB00734,0,DB00280
DB00207,0,DB00218
DB00196,0,DB00308
DB00938,0,DB01175
DB05039,0,DB01195
DB06699,0,DB00468
DB00334,0,DB00489
DB01356,0,DB01137
DB00743,0,DB01118
DB06788,0,DB00218
DB00398,0,DB00908
DB00864,0,DB04855
DB00916,0,DB00679
DB00622,0,DB00246
DB00691,0,DB00904
DB01268,0,DB00199
DB00218,0,DB09063
DB00540,0,DB00608
DB00710,0,DB00477
DB06603,0,DB00308
DB00358,0,DB01195
DB01069,0,DB00904
DB00398,0,DB00539
DB01274,0,DB00204
DB00450,0,DB00537
DB00714,0,DB04946
DB00450,0,DB00743
DB00871,0,DB09078
DB00622,0,DB01175
DB00916,0,DB00537
DB02546,0,DB04855
DB00608,0,DB01195
DB00014,0,DB00261
DB00420,0,DB00502
DB00270,0,DB01165
DB01591,0,DB09078
DB01165,0,DB06697
DB01268,0,DB00450
DB00440,0,DB04855
DB00949,0,DB06216
DB00540,0,DB01169
DB00289,0,DB00539
DB01236,0,DB00679
DB01036,0,DB00489
DB00450,0,DB01232
DB01059,0,DB09078
DB01059,0,DB00450
DB01233,0,DB04868
DB00927,0,DB01035
DB01236,0,DB06697
DB00983,0,DB00204
DB01189,0,DB00743
DB00458,0,DB04946
DB00440,0,DB00738
DB01069,0,DB01601
DB09080,0,DB00489
DB00927,0,DB01155
DB00871,0,DB01137
DB00557,0,DB00215
DB08868,0,DB01100
DB06663,0,DB01184
DB01069,0,DB00468
DB00014,0,DB04844
DB00540,0,DB01100
DB00582,0,DB01267
DB06825,0,DB06216
DB06402,0,DB04868
DB00934,0,DB01232
DB00104,0,DB00679
DB06663,0,DB00199
DB00726,0,DB00604
DB01259,0,DB00743
DB00503,0,DB04868
DB00270,0,DB00472
DB00871,0,DB04868
DB01403,0,DB01137
DB00440,0,DB00537
DB01069,0,DB00472
DB01072,0,DB00218
DB00374,0,DB01100
DB00582,0,DB00537
DB00808,0,DB01087
DB00915,0,DB06708
DB01268,0,DB06216
DB08868,0,DB04844
DB01259,0,DB00738
DB08903,0,DB00280
DB09078,0,DB01224
DB00477,0,DB01155
DB06402,0,DB01175
DB00529,0,DB08903
DB01623,0,DB06589
DB00289,0,DB01175
DB00104,0,DB01211
DB00289,0,DB06589
DB01623,0,DB00246
DB00207,0,DB01624
DB00543,0,DB04844
DB00321,0,DB01035
DB01242,0,DB04855
DB00871,0,DB01100
DB01036,0,DB00738
DB08868,0,DB08903
DB01142,0,DB01165
DB00358,0,DB00450
DB06663,0,DB00468
DB01591,0,DB06589
DB09080,0,DB01155
DB06699,0,DB00308
DB00743,0,DB00976
DB01069,0,DB00604
DB01242,0,DB00246
DB00477,0,DB00308
DB00927,0,DB06697
DB01623,0,DB01211
DB06663,0,DB00489
DB01026,0,DB00537
DB06788,0,DB08881
DB00871,0,DB01211
DB00710,0,DB06697
DB01072,0,DB01267
DB00622,0,DB01169
DB01623,0,DB01175
DB00529,0,DB00333
DB00440,0,DB08865
DB01151,0,DB00904
DB00440,0,DB06603
DB00285,0,DB00904
DB00656,0,DB06708
DB00196,0,DB01267
DB09078,0,DB06708
DB06663,0,DB01175
DB02546,0,DB00261
DB01087,0,DB01137
DB00714,0,DB00738
DB00207,0,DB00263
DB00346,0,DB01087
DB00656,0,DB01175
DB00196,0,DB00215
DB00753,0,DB00604
DB00420,0,DB00738
DB00871,0,DB04946
DB06699,0,DB01118
DB01075,0,DB01087
DB00715,0,DB00308
DB01087,0,DB01100
DB00104,0,DB00904
DB01015,0,DB00608
DB00871,0,DB01165
DB01623,0,DB00477
DB01233,0,DB01137
DB00871,0,DB00218
DB00818,0,DB01087
DB00862,0,DB00908
DB01137,0,DB06697
DB00734,0,DB00743
DB00927,0,DB05294
DB00904,0,DB01165
DB00557,0,DB06402
DB01155,0,DB01118
DB01059,0,DB08865
DB01189,0,DB06697
DB01165,0,DB06708
DB06825,0,DB01195
DB01151,0,DB00308
DB00333,0,DB00608
DB00285,0,DB00246
DB06699,0,DB00908
DB08868,0,DB01137
DB01263,0,DB00263
DB08864,0,DB01175
DB00346,0,DB01137
DB06663,0,DB04868
DB01320,0,DB01118
DB00285,0,DB01175
DB00949,0,DB00757
DB01263,0,DB00450
DB00104,0,DB01118
DB00450,0,DB00280
DB00927,0,DB01118
DB00726,0,DB00204
DB00871,0,DB01184
DB00370,0,DB00014
DB00346,0,DB00489
DB08871,0,DB04855
DB04953,0,DB01601
DB00263,0,DB00420
DB01001,0,DB06589
DB09082,0,DB06708
DB00915,0,DB00472
DB01155,0,DB00679
DB01059,0,DB00207
DB01015,0,DB00908
DB00285,0,DB00472
DB00983,0,DB00363
DB00862,0,DB00014
DB00503,0,DB00199
DB06603,0,DB01100
DB01151,0,DB00875
DB00938,0,DB00450
DB01015,0,DB00604
DB00529,0,DB01165
DB01142,0,DB00477
DB09080,0,DB00537
DB06402,0,DB06589
DB00734,0,DB00333
DB00398,0,DB00472
DB00949,0,DB08865
DB01211,0,DB01169
DB06825,0,DB06708
DB01059,0,DB01184
DB00344,0,DB04855
DB09083,0,DB06402
DB00915,0,DB06402
DB00714,0,DB05294
DB00440,0,DB01169
DB09082,0,DB01182
DB00014,0,DB01169
DB00818,0,DB00207
DB00862,0,DB06216
DB06699,0,DB09039
DB00358,0,DB00502
DB01059,0,DB06708
DB00472,0,DB00502
DB00983,0,DB01211
DB01403,0,DB01035
DB01165,0,DB00215
DB00334,0,DB01165
DB00334,0,DB00908
DB09082,0,DB06216
DB01015,0,DB00738
DB00370,0,DB00308
DB00543,0,DB00489
DB00656,0,DB00207
DB01268,0,DB00333
DB01259,0,DB00218
DB00289,0,DB00904
DB00370,0,DB00537
DB06825,0,DB01211
DB00334,0,DB09078
DB01015,0,DB00308
DB06402,0,DB00261
DB00440,0,DB00468
DB00540,0,DB06697
DB04953,0,DB00738
DB00218,0,DB00889
DB00691,0,DB09078
DB01069,0,DB01211
DB00188,0,DB00875
DB00270,0,DB00904
DB06603,0,DB06708
DB00398,0,DB04844
DB00477,0,DB01195
DB00529,0,DB00489
DB00983,0,DB01100
DB01242,0,DB00608
DB00321,0,DB00204
DB08868,0,DB00875
DB00938,0,DB00904
DB00540,0,DB00556
DB02546,0,DB00604
DB01137,0,DB04844
DB00289,0,DB01035
DB01259,0,DB01175
DB01137,0,DB01211
DB00188,0,DB00539
DB00818,0,DB08865
DB01189,0,DB00468
DB00862,0,DB05294
DB00188,0,DB08865
DB00622,0,DB01624
DB09289,0,DB00908
DB09078,0,DB00908
DB00218,0,DB08865
DB00927,0,DB09063
DB00757,0,DB00604
DB00656,0,DB00468
DB01242,0,DB06697
DB00543,0,DB01169
DB01155,0,DB06708
DB08815,0,DB00280
DB00398,0,DB00556
DB00285,0,DB00604
DB09080,0,DB00539
DB06788,0,DB00875
DB00218,0,DB06216
DB05039,0,DB00204
DB00927,0,DB00207
DB01155,0,DB01211
DB00697,0,DB00539
DB05039,0,DB06708
DB00714,0,DB00207
DB02546,0,DB00472
DB00691,0,DB00420
DB00196,0,DB06708
DB00398,0,DB00537
DB00904,0,DB06589
DB09082,0,DB04855
DB00346,0,DB00537
DB00916,0,DB00908
DB00104,0,DB00450
DB00915,0,DB00904
DB00949,0,DB00502
DB09083,0,DB01165
DB00188,0,DB00738
DB00656,0,DB00889
DB00753,0,DB01195
DB00582,0,DB00450
DB00674,0,DB01195
DB00674,0,DB04844
DB00539,0,DB09083
DB00927,0,DB08881
DB00757,0,DB09078
DB00503,0,DB00261
DB00622,0,DB00608
DB09080,0,DB06708
DB00543,0,DB01182
DB02546,0,DB00608
DB01142,0,DB00363
DB00691,0,DB06589
DB00734,0,DB00875
DB00714,0,DB01100
DB00334,0,DB00472
DB00477,0,DB09078
DB01259,0,DB00472
DB01087,0,DB00280
DB01069,0,DB00207
DB00543,0,DB00261
DB00358,0,DB00014
DB01268,0,DB01195
DB01274,0,DB09039
DB00363,0,DB00738
DB00927,0,DB00904
DB00529,0,DB06402
DB00196,0,DB00218
DB00363,0,DB05294
DB01238,0,DB05294
DB01036,0,DB06589
DB00458,0,DB08903
DB01075,0,DB01224
DB00834,0,DB01236
DB00289,0,DB08881
DB08871,0,DB00489
DB06699,0,DB08881
DB00543,0,DB08865
DB00458,0,DB00280
DB08868,0,DB00199
DB00334,0,DB00976
DB00188,0,DB00537
DB00738,0,DB01169
DB01155,0,DB00489
DB00334,0,DB04855
DB01268,0,DB00363
DB01075,0,DB00363
DB00710,0,DB06589
DB01274,0,DB01165
DB00537,0,DB01267
DB00916,0,DB00477
DB00915,0,DB00308
DB00871,0,DB06708
DB00207,0,DB01165
DB00220,0,DB00014
DB00370,0,DB06589
DB05039,0,DB00908
DB00934,0,DB01087
DB00656,0,DB01267
DB00715,0,DB00207
DB08893,0,DB00246
DB01072,0,DB00014
DB00344,0,DB05294
DB00753,0,DB01118
DB00862,0,DB00450
DB01242,0,DB00363
DB01059,0,DB01624
DB09080,0,DB06216
DB00014,0,DB00199
DB06699,0,DB08865
DB00537,0,DB04946
DB06825,0,DB00420
DB05039,0,DB00679
DB00871,0,DB00743
DB00949,0,DB00875
DB01075,0,DB00608
DB00656,0,DB00539
DB00270,0,DB00875
DB05039,0,DB01267
DB00503,0,DB01267
DB00285,0,DB00218
DB08871,0,DB06216
DB00270,0,DB00450
DB06699,0,DB06603
DB00346,0,DB01100
DB01268,0,DB01184
DB00374,0,DB00215
DB01591,0,DB01182
DB08893,0,DB00889
DB00927,0,DB00215
DB01015,0,DB06216
DB00656,0,DB00604
DB00540,0,DB01137
DB00818,0,DB00604
DB01259,0,DB00679
DB00915,0,DB09078
DB00468,0,DB09083
DB01268,0,DB00477
DB00734,0,DB08903
DB06663,0,DB00502
DB00540,0,DB04868
DB04953,0,DB00489
DB00188,0,DB00207
DB00738,0,DB00261
DB01059,0,DB01137
DB00710,0,DB00468
DB00370,0,DB00539
DB08871,0,DB05294
DB09083,0,DB00757
DB00675,0,DB01087
DB00104,0,DB08903
DB05039,0,DB04868
DB09082,0,DB00537
DB01142,0,DB00199
DB06402,0,DB00280
DB00529,0,DB06697
DB06699,0,DB01224
DB01591,0,DB00556
DB00915,0,DB00875
DB00270,0,DB06708
DB00334,0,DB01087
DB00927,0,DB06603
DB01137,0,DB09078
DB00927,0,DB00477
DB00440,0,DB04868
DB08893,0,DB01224
DB00938,0,DB00539
DB00710,0,DB04844
DB01403,0,DB00261
DB00753,0,DB00468
DB09083,0,DB01182
DB01242,0,DB01624
DB00374,0,DB09078
DB00543,0,DB06216
DB09063,0,DB01267
DB00199,0,DB06603
DB08903,0,DB01624
DB09080,0,DB06402
DB01075,0,DB00889
DB00949,0,DB00420
DB00285,0,DB01035
DB00334,0,DB01169
DB08871,0,DB00743
DB00915,0,DB01601
DB00622,0,DB01137
DB00218,0,DB04868
DB01167,0,DB00263
DB08865,0,DB01169
DB01274,0,DB00875
DB00346,0,DB00450
DB00710,0,DB00450
DB01254,0,DB00450
DB00757,0,DB04844
DB00726,0,DB00468
DB00927,0,DB01182
DB00543,0,DB00743
DB00289,0,DB00308
DB00270,0,DB06402
DB00420,0,DB00204
DB01268,0,DB00679
DB01155,0,DB00604
DB00270,0,DB06589
DB00374,0,DB01211
DB00656,0,DB09078
DB00196,0,DB01195
DB00207,0,DB01118
DB00710,0,DB01624
DB00691,0,DB01118
DB00656,0,DB00420
DB00529,0,DB00743
DB00285,0,DB01224
DB00289,0,DB09063
DB00557,0,DB01232
DB01274,0,DB00477
DB00889,0,DB01155
DB06699,0,DB01155
DB00344,0,DB00738
DB09082,0,DB00246
DB01104,0,DB00875
DB09083,0,DB00743
DB00656,0,DB01035
DB06663,0,DB04855
DB00450,0,DB01211
DB01036,0,DB00743
DB01142,0,DB06216
DB00834,0,DB09078
DB00196,0,DB06216
DB06663,0,DB01211
DB01087,0,DB00261
DB00871,0,DB00502
DB00734,0,DB06708
DB00983,0,DB06697
DB00218,0,DB09078
DB01254,0,DB00537
DB01232,0,DB01118
DB09083,0,DB00537
DB01356,0,DB04855
DB01104,0,DB00207
DB01001,0,DB00204
DB00834,0,DB06589
DB09083,0,DB00263
DB00834,0,DB00502
DB02546,0,DB00908
DB00503,0,DB01175
DB08893,0,DB01184
DB04844,0,DB00834
DB01356,0,DB01035
DB00104,0,DB00280
DB00232,0,DB00204
DB00710,0,DB00218
DB00915,0,DB01224
DB00207,0,DB01211
DB00334,0,DB06708
DB01142,0,DB00738
DB00608,0,DB00308
DB00927,0,DB01211
DB00450,0,DB00308
DB06699,0,DB00757
DB00503,0,DB00743
DB01036,0,DB00450
DB08864,0,DB01267
DB01195,0,DB00604
DB01236,0,DB00477
DB00537,0,DB04855
DB00344,0,DB01118
DB00710,0,DB00280
DB01268,0,DB05294
DB01238,0,DB00537
DB02546,0,DB01211
DB00334,0,DB01224
DB00604,0,DB01244
DB00218,0,DB00363
DB01233,0,DB06589
DB01015,0,DB06603
DB06788,0,DB04855
DB00674,0,DB00502
DB09082,0,DB00450
DB01118,0,DB00908
DB01195,0,DB00875
DB01001,0,DB04946
DB01268,0,DB00215
DB00983,0,DB00976
DB06788,0,DB09039
DB00344,0,DB00207
DB01059,0,DB09039
DB01232,0,DB01169
DB09083,0,DB00363
DB00346,0,DB06216
DB01142,0,DB00889
DB06589,0,DB01184
DB00710,0,DB00502
DB00697,0,DB06603
DB06825,0,DB09078
DB01274,0,DB00420
DB00543,0,DB00875
DB00537,0,DB00280
DB01059,0,DB01035
DB01036,0,DB00472
DB00321,0,DB00889
DB00715,0,DB06697
DB05039,0,DB00263
DB05039,0,DB00743
DB01591,0,DB00199
DB01591,0,DB00308
DB00710,0,DB01035
DB00556,0,DB01195
DB01195,0,DB08903
DB01591,0,DB01087
DB00014,0,DB00308
DB01195,0,DB01624
DB02546,0,DB01195
DB01403,0,DB00908
DB00334,0,DB00215
DB00458,0,DB00904
DB00502,0,DB00308
DB00915,0,DB06216
DB00934,0,DB01175
DB08871,0,DB06589
DB00608,0,DB05294
DB00862,0,DB00889
DB00726,0,DB00537
DB08871,0,DB06402
DB05039,0,DB09039
DB05039,0,DB06216
DB00818,0,DB00556
DB00334,0,DB00261
DB00270,0,DB00489
DB01155,0,DB01169
DB00734,0,DB00014
DB01242,0,DB00489
DB00556,0,DB01137
DB00927,0,DB01137
DB01356,0,DB01195
DB01036,0,DB00218
DB09080,0,DB00363
DB00834,0,DB00334
DB09082,0,DB00539
DB01274,0,DB06697
DB00334,0,DB00743
DB01036,0,DB00904
DB06825,0,DB00889
DB00270,0,DB01169
DB00363,0,DB00280
DB00104,0,DB00539
DB06825,0,DB06603
DB00346,0,DB00363
DB00188,0,DB00218
DB00743,0,DB01182
DB06402,0,DB04946
DB09082,0,DB00757
DB00714,0,DB01267
DB00543,0,DB09063
DB00738,0,DB04946
DB06603,0,DB00908
DB00458,0,DB01195
DB00871,0,DB00757
DB01195,0,DB00489
DB06699,0,DB06697
DB04953,0,DB04868
DB00420,0,DB01211
DB00540,0,DB00889
DB00344,0,DB01601
DB06699,0,DB00875
DB00675,0,DB00889
DB09082,0,DB00489
DB08864,0,DB00743
DB00674,0,DB00537
DB00537,0,DB01169
DB08903,0,DB06216
DB00743,0,DB01175
DB01075,0,DB06697
DB00871,0,DB01195
DB00556,0,DB00468
DB00743,0,DB09039
DB01195,0,DB01175
DB00529,0,DB01624
DB09078,0,DB00308
DB00862,0,DB00204
DB00674,0,DB00608
DB09080,0,DB00477
DB01104,0,DB00468
DB08871,0,DB00199
DB05039,0,DB01100
DB01601,0,DB00656
DB01591,0,DB06708
DB06699,0,DB09063
DB00726,0,DB04868
DB01104,0,DB00450
DB00734,0,DB09078
DB00734,0,DB06216
DB01036,0,DB01175
DB00934,0,DB01169
DB01001,0,DB01624
DB00196,0,DB00246
DB00218,0,DB01035
DB00537,0,DB08865
DB01591,0,DB00757
DB00263,0,DB01155
DB00503,0,DB00215
DB06825,0,DB00014
DB00976,0,DB09078
DB01155,0,DB01184
DB00934,0,DB00908
DB00862,0,DB00472
DB00871,0,DB00450
DB08893,0,DB00014
DB00983,0,DB04844
DB02546,0,DB08903
DB00871,0,DB00489
DB00207,0,DB06603
DB00916,0,DB01175
DB00949,0,DB00363
DB01015,0,DB04868
DB01075,0,DB01601
DB01036,0,DB01035
DB00834,0,DB00358
DB00714,0,DB00875
DB06788,0,DB06402
DB00543,0,DB01165
DB09078,0,DB00539
DB00938,0,DB00261
DB00334,0,DB00556
DB00710,0,DB00908
DB01254,0,DB01195
DB05039,0,DB01155
DB00927,0,DB00757
DB08868,0,DB00738
DB00871,0,DB01182
DB01167,0,DB01035
DB00529,0,DB00207
DB00976,0,DB00308
DB01165,0,DB00308
DB00556,0,DB00908
DB01182,0,DB00261
DB00524,0,DB00204
DB01075,0,DB06402
DB00691,0,DB06603
DB01026,0,DB00261
DB01236,0,DB06216
DB09082,0,DB04946
DB01036,0,DB09078
DB00346,0,DB00738
DB00529,0,DB00246
DB01075,0,DB00420
DB06699,0,DB01169
DB00818,0,DB00204
DB00358,0,DB00246
DB00321,0,DB00908
DB00529,0,DB00537
DB09080,0,DB00261
DB00477,0,DB01165
DB00358,0,DB00207
DB00540,0,DB00904
DB00622,0,DB01100
DB01623,0,DB00889
DB00289,0,DB06708
DB00674,0,DB00556
DB00344,0,DB00263
DB00199,0,DB01232
DB00557,0,DB01601
DB00358,0,DB00363
DB08871,0,DB01224
DB08871,0,DB00472
DB00346,0,DB01267
DB00834,0,DB01155
DB01075,0,DB05294
DB09080,0,DB00218
DB00934,0,DB00420
DB00333,0,DB00743
DB00440,0,DB00472
DB00104,0,DB00757
DB00321,0,DB00539
DB00188,0,DB01087
DB00818,0,DB05294
DB01142,0,DB00556
DB01274,0,DB00604
DB00934,0,DB04946
DB00938,0,DB01224
DB00556,0,DB00204
DB01104,0,DB01267
DB00938,0,DB01169
DB00458,0,DB00889
DB00374,0,DB01267
DB00243,0,DB00308
DB00196,0,DB00608
DB00458,0,DB00261
DB00543,0,DB01087
DB01274,0,DB00738
DB00289,0,DB00450
DB01623,0,DB00757
DB01232,0,DB06402
DB00808,0,DB00215
DB00674,0,DB00333
DB00398,0,DB00743
DB08864,0,DB00420
DB06788,0,DB01224
DB09039,0,DB09083
DB04953,0,DB06402
DB00458,0,DB06402
