d1,r,d2
DB09241,0,DB00738
DB00960,0,DB01016
DB01626,0,DB01016
DB04878,0,DB00359
DB04576,0,DB06335
DB01626,0,DB00912
DB00331,0,DB00359
DB00491,0,DB00222
DB01155,0,DB00912
DB00468,0,DB00672
DB01185,0,DB01120
DB00621,0,DB00672
DB01037,0,DB01016
DB04576,0,DB06292
DB00805,0,DB00222
DB06203,0,DB00839
DB00945,0,DB06292
DB06700,0,DB00672
DB00936,0,DB01261
DB00284,0,DB01124
DB06718,0,DB00359
DB00467,0,DB01268
DB00912,0,DB01067
DB00827,0,DB01067
DB00614,0,DB01124
DB01252,0,DB00359
DB00244,0,DB00284
DB01044,0,DB01200
DB01626,0,DB00280
DB06203,0,DB01016
DB00182,0,DB06335
DB04576,0,DB08907
DB01247,0,DB00738
DB09245,0,DB06203
DB09245,0,DB00222
DB00731,0,DB06663
DB00521,0,DB01120
DB00491,0,DB00672
DB04576,0,DB01120
DB04576,0,DB01132
DB06718,0,DB06203
DB00284,0,DB00839
DB01132,0,DB00280
DB00780,0,DB00834
DB01168,0,DB00331
DB01203,0,DB01016
DB04878,0,DB01067
DB04896,0,DB00222
DB01185,0,DB00491
DB00335,0,DB00672
DB00412,0,DB00731
DB01251,0,DB01015
DB04576,0,DB00284
DB00672,0,DB00912
DB06700,0,DB01268
DB01185,0,DB00412
DB01250,0,DB00834
DB01247,0,DB00731
DB00467,0,DB01067
DB00612,0,DB01016
DB09038,0,DB01015
DB06718,0,DB01261
DB06718,0,DB01132
DB01250,0,DB06203
DB01037,0,DB00912
DB09245,0,DB01124
DB00571,0,DB01067
DB01149,0,DB09038
DB06718,0,DB08907
DB01175,0,DB01120
DB00621,0,DB00912
DB00805,0,DB06292
DB00827,0,DB06203
DB00182,0,DB01268
DB00936,0,DB00280
DB01252,0,DB00839
DB00685,0,DB00284
DB01039,0,DB01251
DB06718,0,DB01124
DB06335,0,DB01120
DB01037,0,DB01067
DB00104,0,DB01124
DB08983,0,DB01016
DB00467,0,DB00263
DB01155,0,DB06335
DB00817,0,DB09038
DB01014,0,DB01261
DB01261,0,DB00672
DB01037,0,DB06292
DB01044,0,DB00263
DB00805,0,DB00468
DB00467,0,DB01016
DB01076,0,DB01289
DB00685,0,DB00331
DB09241,0,DB01015
DB01037,0,DB01268
DB01132,0,DB01268
DB00472,0,DB09038
DB06412,0,DB00672
DB13873,0,DB00839
DB00284,0,DB01067
DB01261,0,DB00731
DB01185,0,DB00331
DB01059,0,DB01015
DB00624,0,DB00672
DB01014,0,DB01124
DB08804,0,DB00839
DB09245,0,DB06292
DB08808,0,DB00222
DB00672,0,DB00839
DB01263,0,DB01067
DB04896,0,DB00468
DB01252,0,DB01268
DB01155,0,DB01120
DB00521,0,DB00839
DB01110,0,DB01120
DB00861,0,DB00672
DB00866,0,DB01289
DB08807,0,DB01289
DB01039,0,DB01067
DB09038,0,DB00839
DB00866,0,DB01067
DB00914,0,DB00839
DB04878,0,DB01268
DB01110,0,DB00672
DB09244,0,DB01016
DB01241,0,DB00839
DB06718,0,DB06292
DB00779,0,DB01067
DB01252,0,DB00834
DB01171,0,DB01261
DB00195,0,DB00839
DB01420,0,DB08907
DB01261,0,DB01124
DB04576,0,DB00834
DB00472,0,DB00912
DB00244,0,DB01200
DB00621,0,DB01124
DB04576,0,DB01016
DB00805,0,DB01016
DB00491,0,DB00359
DB09204,0,DB01124
DB04576,0,DB06203
DB00187,0,DB01289
DB04876,0,DB01067
DB00827,0,DB09038
DB00233,0,DB00263
DB01367,0,DB00738
DB11079,0,DB01132
DB09245,0,DB09038
DB00373,0,DB01124
DB06710,0,DB01132
DB04576,0,DB01067
DB01044,0,DB01067
DB01044,0,DB01268
DB09241,0,DB00263
DB09244,0,DB00839
DB00636,0,DB01251
DB00805,0,DB00359
DB06710,0,DB09038
DB09245,0,DB01067
DB01261,0,DB01120
DB06718,0,DB00731
DB00861,0,DB00834
DB13873,0,DB01251
DB00195,0,DB01124
DB01037,0,DB00738
DB00104,0,DB00222
DB06412,0,DB06292
DB00945,0,DB06203
DB09241,0,DB00331
DB00222,0,DB00912
DB01250,0,DB00839
DB08918,0,DB00331
DB01016,0,DB06663
DB01037,0,DB01132
DB11079,0,DB08907
DB00182,0,DB00491
DB00780,0,DB01120
DB09543,0,DB06292
DB00817,0,DB00912
DB00715,0,DB01268
DB00166,0,DB00419
DB00472,0,DB00412
DB01295,0,DB00672
DB00467,0,DB06203
DB04878,0,DB00468
DB01076,0,DB01124
DB00467,0,DB06335
DB09244,0,DB01261
DB00827,0,DB01015
DB00621,0,DB00731
DB01247,0,DB01261
DB00624,0,DB00284
DB01250,0,DB08907
DB00914,0,DB00359
DB01059,0,DB00412
DB09245,0,DB00284
DB01149,0,DB00331
DB01037,0,DB09038
DB00685,0,DB00359
DB01420,0,DB06335
DB01044,0,DB01016
DB00476,0,DB01016
DB00780,0,DB00280
DB04878,0,DB00672
DB01247,0,DB00280
DB01210,0,DB01251
DB01208,0,DB01067
DB00359,0,DB06663
DB04576,0,DB01268
DB01044,0,DB00359
DB01175,0,DB00331
DB01247,0,DB00834
DB09244,0,DB00280
DB08918,0,DB01120
DB00780,0,DB00839
DB04846,0,DB00839
DB00467,0,DB00359
DB01168,0,DB00222
DB01297,0,DB01067
DB08882,0,DB00672
DB08804,0,DB06203
DB00598,0,DB01067
DB00233,0,DB01067
DB01626,0,DB01067
DB00491,0,DB00468
DB09241,0,DB00834
DB00779,0,DB01261
DB00467,0,DB00491
DB01155,0,DB00280
DB01297,0,DB01251
DB01193,0,DB01016
DB09245,0,DB01200
DB01016,0,DB01120
DB00359,0,DB00839
DB01168,0,DB00359
DB01297,0,DB01124
DB00914,0,DB00280
DB00945,0,DB01120
DB01185,0,DB00359
DB00166,0,DB08882
DB00731,0,DB01016
DB00419,0,DB01015
DB00715,0,DB09038
DB08918,0,DB01132
DB01251,0,DB00222
DB00738,0,DB01016
DB01067,0,DB01268
DB01193,0,DB00222
DB00827,0,DB08907
DB08918,0,DB00672
DB01120,0,DB06791
DB00233,0,DB06335
DB00373,0,DB01289
DB00598,0,DB00672
DB01208,0,DB00834
DB01261,0,DB01067
DB00614,0,DB00491
DB01136,0,DB00839
DB00827,0,DB00731
DB01137,0,DB01261
DB00104,0,DB06663
DB01044,0,DB00839
DB11079,0,DB01120
DB00285,0,DB09038
DB01420,0,DB01016
DB06335,0,DB01289
DB00476,0,DB00359
DB00945,0,DB08907
DB00233,0,DB00912
DB09241,0,DB01120
DB00104,0,DB00672
DB00487,0,DB01261
DB00614,0,DB00263
DB00945,0,DB00280
DB00244,0,DB09038
DB00805,0,DB00834
DB06718,0,DB00331
DB01155,0,DB01067
DB00685,0,DB08907
DB00176,0,DB09038
DB01626,0,DB00284
DB00685,0,DB01261
DB08918,0,DB06203
DB00731,0,DB01268
DB01168,0,DB01015
DB09543,0,DB00280
DB01185,0,DB01016
DB00359,0,DB00912
DB01175,0,DB00491
DB01039,0,DB00222
DB01014,0,DB00280
DB00685,0,DB00731
DB01168,0,DB01124
DB09245,0,DB00359
DB06718,0,DB00222
DB06203,0,DB01268
DB01210,0,DB01016
DB09204,0,DB00222
DB00780,0,DB06203
DB00244,0,DB01067
DB00827,0,DB01120
DB00598,0,DB01289
DB01626,0,DB09038
DB04576,0,DB00359
DB01367,0,DB00280
DB01420,0,DB01015
DB06718,0,DB00839
DB00263,0,DB01289
DB01155,0,DB00491
DB00685,0,DB01200
DB00685,0,DB00280
DB00621,0,DB00284
DB01626,0,DB00263
DB01171,0,DB09038
DB00335,0,DB01289
DB00752,0,DB00491
DB00614,0,DB01015
DB09241,0,DB08907
DB01185,0,DB06335
DB00614,0,DB01132
DB09204,0,DB01120
DB00738,0,DB01120
DB01059,0,DB01268
DB00476,0,DB06335
DB04846,0,DB01124
DB08882,0,DB00263
DB01044,0,DB08907
DB04576,0,DB00222
DB01059,0,DB08907
DB09245,0,DB01120
DB00861,0,DB00359
DB09038,0,DB01016
DB00487,0,DB00468
DB00685,0,DB06335
DB00731,0,DB00912
DB00476,0,DB00491
DB00624,0,DB00491
DB00817,0,DB06292
DB01155,0,DB00222
DB01251,0,DB00263
DB00285,0,DB01120
DB01014,0,DB00491
DB00780,0,DB00672
DB01251,0,DB00731
DB01137,0,DB01200
DB01037,0,DB00672
DB01247,0,DB01016
DB00222,0,DB01067
DB01185,0,DB00468
DB00467,0,DB08907
DB04576,0,DB00738
DB09245,0,DB00839
DB00779,0,DB01132
DB06718,0,DB01016
DB09204,0,DB00839
DB01250,0,DB00222
DB01110,0,DB00222
DB01580,0,DB00222
DB00866,0,DB00672
DB01393,0,DB01289
DB00215,0,DB01132
DB00861,0,DB00731
DB00936,0,DB00912
DB00827,0,DB01016
DB09244,0,DB00731
DB01171,0,DB01120
DB00491,0,DB01268
DB00834,0,DB00839
DB01208,0,DB00672
DB08807,0,DB01251
DB00571,0,DB00839
DB00104,0,DB00912
DB01261,0,DB00280
DB01155,0,DB00731
DB01076,0,DB00839
DB09244,0,DB01200
DB00182,0,DB01261
DB00861,0,DB00468
DB01137,0,DB06335
DB00621,0,DB01016
DB00779,0,DB00839
DB00614,0,DB00468
DB00636,0,DB01120
DB00331,0,DB01067
DB00487,0,DB01124
DB01208,0,DB06335
DB01261,0,DB01016
DB00779,0,DB01200
DB00731,0,DB01015
DB01250,0,DB00263
DB00672,0,DB01015
DB00861,0,DB00839
DB00945,0,DB01268
DB01367,0,DB00839
DB00817,0,DB00839
DB00685,0,DB00222
DB08983,0,DB00839
DB08882,0,DB00222
DB00419,0,DB00834
DB08907,0,DB01251
DB00752,0,DB01268
DB09241,0,DB00912
DB08804,0,DB00280
DB00827,0,DB00284
DB01132,0,DB00672
DB06718,0,DB00912
DB00476,0,DB01067
DB00284,0,DB00731
DB00827,0,DB01132
DB01037,0,DB00222
DB04861,0,DB01251
DB01247,0,DB00912
DB06718,0,DB01015
DB06412,0,DB01200
DB01044,0,DB01120
DB01149,0,DB00284
DB00182,0,DB00280
DB00215,0,DB09038
DB01251,0,DB01067
DB09245,0,DB06335
DB01580,0,DB01120
DB09038,0,DB00468
DB00827,0,DB00222
DB01175,0,DB00912
DB00166,0,DB00839
DB11079,0,DB00839
DB01208,0,DB09038
DB01168,0,DB09038
DB00685,0,DB00468
DB09245,0,DB00738
DB08907,0,DB00359
DB01037,0,DB00468
DB04576,0,DB01124
DB00866,0,DB01124
DB09543,0,DB01015
DB01016,0,DB01268
DB01037,0,DB00412
DB00936,0,DB01067
DB01171,0,DB01132
DB04861,0,DB01289
DB01044,0,DB00731
DB00412,0,DB00672
DB00861,0,DB00738
DB09543,0,DB00468
DB00280,0,DB01124
DB01367,0,DB00359
DB01251,0,DB01124
DB04846,0,DB01251
DB00614,0,DB06292
DB00624,0,DB01120
DB00285,0,DB00491
DB06335,0,DB00280
DB01037,0,DB00331
DB00817,0,DB00412
DB09543,0,DB00263
DB00491,0,DB01015
DB00166,0,DB01261
DB00182,0,DB01124
DB00215,0,DB00222
DB00731,0,DB06791
DB00685,0,DB00839
DB01175,0,DB00284
DB01155,0,DB01124
DB00487,0,DB00280
DB04861,0,DB00222
DB09241,0,DB01132
DB08807,0,DB01016
DB00614,0,DB00222
DB00614,0,DB01268
DB01208,0,DB01200
DB00945,0,DB01067
DB01193,0,DB00672
DB01168,0,DB00284
DB11079,0,DB00263
DB01149,0,DB00839
DB06710,0,DB01016
DB01059,0,DB01132
DB00779,0,DB06335
DB08983,0,DB00672
DB08882,0,DB01124
DB09245,0,DB00280
DB09038,0,DB00280
DB00614,0,DB00738
DB01252,0,DB00731
DB01250,0,DB01200
DB00612,0,DB01067
DB00476,0,DB00263
DB11079,0,DB06203
DB06718,0,DB06335
DB01261,0,DB01268
DB01297,0,DB01016
DB01175,0,DB00839
DB01014,0,DB01200
DB01241,0,DB01289
DB01626,0,DB06203
DB01208,0,DB01261
DB04876,0,DB00839
DB01193,0,DB01120
DB00331,0,DB01268
DB00636,0,DB01016
DB01137,0,DB01067
DB01208,0,DB06203
DB11079,0,DB00468
DB09241,0,DB01200
DB01420,0,DB01124
DB01044,0,DB01261
DB00672,0,DB00738
DB01059,0,DB00222
DB08918,0,DB01124
DB00914,0,DB01268
DB00412,0,DB00222
DB06335,0,DB00912
DB00817,0,DB01268
DB01014,0,DB01015
DB01171,0,DB01268
DB06412,0,DB00834
DB08918,0,DB00359
DB01155,0,DB01261
DB00738,0,DB01124
DB00779,0,DB00359
DB01250,0,DB00284
DB00715,0,DB00491
DB00621,0,DB00280
DB00468,0,DB06791
DB00166,0,DB09038
DB00817,0,DB08907
DB00914,0,DB01067
DB09204,0,DB01016
DB00839,0,DB00912
DB11079,0,DB06292
DB01044,0,DB00468
DB00487,0,DB06292
DB00233,0,DB01132
DB00280,0,DB00468
DB01193,0,DB01289
DB00215,0,DB01261
DB01250,0,DB01268
DB00827,0,DB00280
DB01137,0,DB06292
DB01014,0,DB01120
DB08983,0,DB00222
DB00195,0,DB00222
DB00914,0,DB00731
DB00598,0,DB00222
DB01367,0,DB01132
DB08808,0,DB01289
DB06335,0,DB00839
DB09241,0,DB00222
DB01059,0,DB00839
DB04876,0,DB01015
DB00285,0,DB00222
DB00222,0,DB01016
DB01251,0,DB01016
DB00491,0,DB00912
DB00222,0,DB01120
DB11079,0,DB00359
DB04878,0,DB00280
DB00331,0,DB01016
DB00487,0,DB06203
DB00752,0,DB01120
DB00624,0,DB00222
DB00331,0,DB00839
DB00780,0,DB00412
DB01193,0,DB00839
DB00805,0,DB08907
DB00233,0,DB01016
DB00960,0,DB00222
DB00945,0,DB01261
DB00487,0,DB01067
DB00521,0,DB01067
DB00412,0,DB01016
DB01168,0,DB00738
DB00621,0,DB00222
DB00945,0,DB00284
DB00621,0,DB09038
DB04896,0,DB00280
DB06412,0,DB00263
DB00866,0,DB00222
DB09244,0,DB00912
DB00779,0,DB00912
DB01214,0,DB01251
DB01014,0,DB00731
DB06718,0,DB00672
DB00936,0,DB00222
DB00715,0,DB00359
DB00215,0,DB08907
DB01193,0,DB01067
DB00715,0,DB01124
DB00936,0,DB00284
DB01185,0,DB01132
DB01171,0,DB00280
DB00960,0,DB01120
DB01015,0,DB06791
DB00936,0,DB06292
DB08918,0,DB01261
DB01185,0,DB00738
DB08918,0,DB00839
DB00187,0,DB00222
DB06718,0,DB00834
DB01120,0,DB06663
DB00215,0,DB01067
DB01155,0,DB00468
DB01367,0,DB06292
DB00476,0,DB00222
DB01104,0,DB01261
DB00827,0,DB00672
DB00244,0,DB00468
DB00936,0,DB01120
DB08918,0,DB09038
DB01251,0,DB00912
DB08804,0,DB00331
DB01367,0,DB01015
DB01393,0,DB00672
DB06203,0,DB00912
DB04576,0,DB09038
DB01626,0,DB00491
DB01171,0,DB00839
DB06412,0,DB00738
DB00331,0,DB00222
DB00621,0,DB01120
DB01208,0,DB00839
DB01247,0,DB00331
DB01247,0,DB08907
DB00612,0,DB01124
DB00104,0,DB01016
DB00621,0,DB01132
DB00467,0,DB00222
DB01044,0,DB00672
DB09245,0,DB00731
DB00614,0,DB01120
DB00805,0,DB01015
DB06710,0,DB08907
DB01193,0,DB01124
DB00780,0,DB00731
DB00244,0,DB00912
DB09241,0,DB01067
DB04878,0,DB00912
DB01168,0,DB01261
DB00839,0,DB06663
DB08804,0,DB00731
DB09543,0,DB01261
DB00861,0,DB06203
DB00244,0,DB06292
DB00467,0,DB06292
DB00614,0,DB01067
DB11079,0,DB00284
DB00817,0,DB01067
DB01295,0,DB00839
DB00284,0,DB00672
DB01171,0,DB01016
DB00827,0,DB01261
DB06412,0,DB00412
DB01208,0,DB06292
DB00487,0,DB01016
DB08804,0,DB00222
DB09038,0,DB01120
DB01214,0,DB00222
DB13873,0,DB01016
DB01168,0,DB00491
DB04861,0,DB01120
DB08918,0,DB00738
DB01155,0,DB00672
DB00166,0,DB00672
DB06700,0,DB01016
DB00685,0,DB09038
DB00263,0,DB06791
DB01168,0,DB01120
DB00936,0,DB01200
DB00489,0,DB00839
DB00738,0,DB00912
DB09241,0,DB01016
DB00166,0,DB04876
DB00817,0,DB01200
DB01367,0,DB00672
DB04861,0,DB00839
DB01171,0,DB00331
DB01137,0,DB00222
DB06203,0,DB00731
DB01185,0,DB08907
DB00187,0,DB01251
DB01185,0,DB00839
DB00233,0,DB00738
DB00187,0,DB01067
DB01168,0,DB00834
DB00331,0,DB00731
DB00805,0,DB00491
DB00468,0,DB00912
DB01110,0,DB01251
DB09204,0,DB01251
DB00104,0,DB01015
DB11079,0,DB09038
DB00104,0,DB01067
DB00244,0,DB01132
DB09241,0,DB00280
DB09241,0,DB01268
DB06412,0,DB08907
DB01044,0,DB01132
DB00487,0,DB00731
DB00731,0,DB00839
DB00331,0,DB00672
DB00780,0,DB01261
DB01137,0,DB09038
DB01168,0,DB01016
DB04876,0,DB01268
DB00624,0,DB01016
DB09244,0,DB00284
DB08882,0,DB01251
DB06335,0,DB00359
DB08804,0,DB01124
DB01014,0,DB01132
DB00715,0,DB01261
DB04896,0,DB00912
DB00244,0,DB00839
DB01168,0,DB00912
DB01359,0,DB00222
DB08808,0,DB00672
DB00780,0,DB00222
DB00331,0,DB00912
DB00176,0,DB00284
DB01059,0,DB01200
DB01044,0,DB00834
DB01252,0,DB00280
DB08804,0,DB01067
DB00621,0,DB00468
DB01420,0,DB01067
DB00672,0,DB06791
DB09245,0,DB00412
DB00285,0,DB00839
DB00280,0,DB01067
DB04896,0,DB01124
DB00614,0,DB00912
DB00487,0,DB00331
